SQA,Project ID,Application,Deliverable,Doc Version,"Doc ID, if needed","Approve or 
Disapprove?",Date of Approval or Disapproval,Reason for Disapproval,Comments
Nick,1075.001,DaVinci,URS,2,1,D,23-Jan-2018,Not compliant with procedure,Approver List
Nick,1075.001,DaVinci,Validation Plan,1,1,D,23-Jan-2018,Not compliant with procedure,Approver List
Nick,354.004,SAS,System Certification Summary,1,1,A-FP,23-Jan-2018,,
Nick,ePAS 15-15617 V8,GS Reports,Project Plan,1,,A-FP,24-Jan-2018,,
Nick,ePAS 18-1699,Metrics Library,Design Documentation,1,,A-FP,24-Jan-2018,,source to target 
Nick,ePAS 18-1700,Metrics Library,Design Documentation,1,,A-FP,24-Jan-2018,,source to target 
Nick,1075.001,DaVinci,IIVP,1,1,D,24-Jan-2018,Inaccurate information,
Nick,1075.001,DaVinci,Project Plan,1,1,A,24-Jan-2018,,
Nick,1075.001,DaVinci,URS,2,1,A,24-Jan-2018,,
Nick,1075.001,DaVinci,IIVP,1,1,A,24-Jan-2018,,
Nick,1075.001,DaVinci,CII,1,1,D,24-Jan-2018,Not following document version control,not to release but to software.
Nick,ePAS 16-38941 V3,GS Reports,Move to Production,1,1,A-FP,24-Jan-2018,,
Nick,1075.001,DaVinci,Validation Plan,1,1,A,24-Jan-2018,,
Nick,1075.001,DaVinci,CII,1,1,A,24-Jan-2018,,
Nick,1075.001,DaVinci,FRS,2,1,A,25-Jan-2018,,
Nick,1075.001,DaVinci,CII,1,1,A,25-Jan-2018,,
Nick,1075.001,DaVinci,IIVP,1,1,A,25-Jan-2018,,
Nick,1075.001,DaVinci,Test Protocol,1,1,D,25-Jan-2018,Inaccurate information,
Nick,1075.001,DaVinci,Test Protocol,1,2,D,25-Jan-2018,Inaccurate information,
Nick,750.011,AFMS,Test Protocol,4,8,D,25-Jan-2018,Not compliant with procedure,
Nick,1075.001,DaVinci,Test Protocol,1,4,D,25-Jan-2018,Inaccurate information,
Nick,1075.001,DaVinci,Test Protocol,2,2,D,25-Jan-2018,Inaccurate information,
Nick,750.011,AFMS,Test Protocol,4,8,A,25-Jan-2018,,
Nick,1075.001,DaVinci,Test Protocol,2,3,D,25-Jan-2018,Inaccurate information,
Nick,1075.001,DaVinci,Test Protocol,2,2,A,25-Jan-2018,,
Nick,1075.001,DaVinci,Test Protocol,1,1,A,25-Jan-2018,,
Nick,589.05,CMSNext,Software Change Request,1,1,D,26-Jan-2018,Inaccurate information,
Nick,1075.001,DaVinci,Test Protocol,1,4,A,26-Jan-2018,,
Nick,1075.001,DaVinci,Test Protocol,2,3,A,26-Jan-2018,,
Wayne,LC-S 00986.005,PCN/SCN,IIVP,1,1,D,26-Jan-2018,Inaccurate information,No instruction to generate Objective Evidence
Wayne,LC-S 00986.005,PCN/SCN,IIVP,1,1,A,26-Jan-2018,,
Beilah,01101.000,QIMS,CII,1,Configuration Item Inventory for QIMS 2.50,D,19-Jan-2018,Inaccurate information,Disapproved 2nd time
Beilah,01101.000,QIMS,CII,1,Configuration Item Inventory for QIMS 2.50,A,19-Jan-2018,,
Beilah,01101.000,QIMS,CII,1,Configuration Item Inventory for QIMS Report Manager 1.80,D,19-Jan-2018,Inaccurate information,Disapproved 2nd time
Beilah,01101.000,QIMS,CII,1,Configuration Item Inventory for QIMS Report Manager 1.80,A,19-Jan-2018,,
Beilah,01090.000,WWLIMS,FRS,9,WWLIMS Bookshelf: Assay File Management,A,19-Jan-2018,,Resubmitted
Beilah,01090.000,WWLIMS,Test Protocol,2,TCTCPIT_R_11,A,19-Jan-2018,,Resubmitted
Beilah,01090.000,WWLIMS,Test Protocol,2,TCTCPIT_R_11,A,24-Jan-2018,,Resubmitted
Beilah,01090.000,WWLIMS,Test Protocol,1,TCTCPPRT_19,D,19-Jan-2018,Not following document version control,
Beilah,01090.000,WWLIMS,Test Protocol,1,TCTCPPRT_19,A,19-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,2,TCTCPLC_E_15,A-FP,19-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,4,TCAFMARAD_1,D,19-Jan-2018,,Formatting issues. Not content.
Beilah,01090.000,WWLIMS,Test Protocol,4,TCAFMARAD_1,A,19-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,4,TCAFMARAD_2,D,19-Jan-2018,,Formatting issues. Not content.
Beilah,01090.000,WWLIMS,Test Protocol,4,TCAFMARAD_2,A,19-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,4,TCAFMARAD_3,D,19-Jan-2018,,Formatting issues. Not content.
Beilah,01090.000,WWLIMS,Test Protocol,4,TCAFMARAD_3,A,19-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,1,DT_ArchitectAssayDetail ,A-FP,19-Jan-2018,,
Beilah,01090.000,DPW,Test Protocol Results,1,Translation Workflow_Diagnostics.abbott_v2_Protocol,A-FP,19-Jan-2018,,
Beilah,01090.000,WWLIMS,Traceability,5,For: DT_AFMARAD,D,22-Jan-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,Traceability,5,For: DT_AFMARAD,A,24-Jan-2018,,
Beilah,01090.000,WWLIMS,Traceability,5,For: DT_AFMARAD,A,25-Jan-2018,,Resubmitted
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Test Protocol TCTCPLR_E_04: ADDULCD771510T,A-FP,22-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Test Protocol TCTCPLR_E_04: ADDULCD771510T,A,24-Jan-2018,,Resubmitted for minor correction.
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Test Protocol TCTCPLR_E_04: ADDULCD771510T,A,25-Jan-2018,,Resubmitted for minor correction.
Beilah,01090.000,WWLIMS,Test Protocol Results,2,Test Protocol TCTCPIT_E_05: ADDULCD771510T,A-FP,22-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Test Protocol TCTCPLC_R_05 : ADDULCD772728L,A-FP,22-Jan-2018,,
Beilah,01094.001,IRIS,IIVP results,1,Prod,A-FP,22-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,2,Test Protocol  TCTCPLC_E_15: ADDULCD772728L,A-FP,22-Jan-2018,,
Beilah,01101.000,QIMS,IIVP,1,Manual Installation Instructions for 32 bit or 64 bit pc: v2.50,A-FP,22-Jan-2018,,
Beilah,01101.000,QIMS,IIVP results,1,Manual Installation Instructions for 32 bit or 64 bit pc: v2.50,D,22-Jan-2018,Not compliant with procedure,
Beilah,01101.000,QIMS,IIVP results,1,Manual Installation Instructions for 32 bit or 64 bit pc: v2.50,A,22-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol,1, Employee Valuation Testing: v2.50,D,22-Jan-2018,Insufficient testing,
Beilah,01101.000,QIMS,Test Protocol,1, Employee Valuation Testing: v2.50,A,25-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol,1,  IPDR ADDQIMS08557: v2.50,D,22-Jan-2018,Insufficient testing,
Beilah,01101.000,QIMS,Test Protocol,1,  IPDR ADDQIMS08557: v2.50,D,24-Jan-2018,Insufficient testing,
Beilah,01101.000,QIMS,Test Protocol,1,  IPDR ADDQIMS08557: v2.50,D,25-Jan-2018,Insufficient testing,
Beilah,01101.000,QIMS,Test Protocol,1, IPDR ADDQIMS08558: v2.50,D,22-Jan-2018,Insufficient testing,
Beilah,01101.000,QIMS,Test Protocol,1, IPDR ADDQIMS08558: v2.50,D,24-Jan-2018,Insufficient testing,
Beilah,01101.000,QIMS,Test Protocol,1, IPDR ADDQIMS08558: v2.50,A,25-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol,1, Employees Maintenance Regression Testing: v2.50,D,22-Jan-2018,,No req trace to review against.
Beilah,01101.000,QIMS,Test Protocol,1, Employees Maintenance Regression Testing: v2.50,D,25-Jan-2018,Inaccurate information,
Beilah,00303.099,DFCS,Design Verification,3,Design Verification: Pick list,A-FP,22-Jan-2018,,
Beilah,01090.000,WWLIMS,IIVP,1,IIVP- Instrument Server-v9.3,A-FP,22-Jan-2018,,
Beilah,00303.099,DFCS,CII,4,CII ,A-FP,22-Jan-2018,,
Beilah,00303.099,DFCS,IIVP,4,Install,A-FP,22-Jan-2018,,
Beilah,00303.099,DFCS,User Acceptance Protocol results,1,UAT 01_Postponement Picklist Changes_Results - FAIL,A-FP,22-Jan-2018,,
Beilah,00303.099,DFCS,User Acceptance Protocol,2,UAT 01_Postponement Picklist Changes,D,23-Jan-2018,Not using template,template is okay just missing header.
Beilah,00303.099,DFCS,User Acceptance Protocol,2,UAT 01_Postponement Picklist Changes,A,23-Jan-2018,,
Beilah,00303.099,DFCS,Test Protocol,3,Test Protocol_01_DFCS_PostponementOrders,A-FP,23-Jan-2018,,
Beilah,00303.099,DFCS,Test Protocol Results,3,Test Protocol_01_DFCS_PostponementOrders_Results,D,24-Jan-2018,Inaccurate information,
Beilah,00303.099,DFCS,Test Protocol Results,3,Test Protocol_01_DFCS_PostponementOrders_Results,A,24-Jan-2018,,Failed test
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Test Protocol TCTCPIT_R_12 Result: ADDULCD771510T,A-FP,23-Jan-2018,,
Beilah,01090.000,WWLIMS,Design Verification,1, Unit test - Instrument Server v9.3a,A-FP,23-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Test Protocol TCTCPINDT_14 Result: ADDULCD771510T,D,24-Jan-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Test Protocol TCTCPINDT_14 Result: ADDULCD771510T,A,25-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,2,Test Protocol TCTCPINDT_14,A,25-Jan-2018,,only for update purposes.
Beilah,01090.000,WWLIMS,Test Protocol,2,Test Protocol TCTCPINDT_14,A,25-Jan-2018,,only for update purposes.
Beilah,01090.000,WWLIMS,Traceability,16,Traceability Matrix - TPTCPPRT,D,24-Jan-2018,Inaccurate information,This was approved once resubmitted and upon resubmittle has wrong header invofrrmation
Beilah,01090.000,WWLIMS,Traceability,16,Traceability Matrix - TPTCPPRT,A,24-Jan-2018,,
Beilah,01101.000,QIMS,Traceability,7,FRS Section 2 Traceability Matrix (for QIMS 2.50),D,24-Jan-2018,Inaccurate information,
Beilah,01101.000,QIMS,Traceability,7,FRS Section 2 Traceability Matrix (for QIMS 2.50),A,25-Jan-2018,,
Beilah,01090.000,WWLIMS,CII,1,Configuration Item Inventory - Instrument Server v9.3a,A-FP,25-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,1,TCIDARCC_01,A-FP,25-Jan-2018,,
Beilah,01090.000,WWLIMS,Traceability,1,Traceability Matrix - TPIDARCC,A-FP,25-Jan-2018,,
Beilah,01090.000,WWLIMS,Traceability,11,Traceability Matrix - TPTCPINDT,A-FP,25-Jan-2018,,
Beilah,01090.000,QIMS,Traceability,5,FRS Section 11 Traceability Matrix (for QIMS 2.50),D,25-Jan-2018,Inaccurate information,
Liz,01117.000,ideaPoint,Software Compliance Assessment,1,1,A-FP,31-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,2,Development Test Protocol,D,26-Jan-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,Test Protocol,3,Development Test Protocol,A,29-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,4,TCISVR_01,A-FP,26-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,4,TCISVR_01,A-FP,30-Jan-2018,,resubmitted
Beilah,01090.000,WWLIMS,Traceability,8,Traceability Matrix - TPISVR,D,26-Jan-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,Traceability,8,Traceability Matrix - TPISVR,A,29-Jan-2018,,
Beilah,01090.000,WWLIMS,Design Verification,1, Unit Test - WorkStation v9.3b,A-FP,26-Jan-2018,,
Beilah,01101.000,QIMS,Traceability,5,FRS Section 11 Traceability Matrix (for QIMS 2.50),D,26-Jan-2018,Other,Blank page
Beilah,01101.000,QIMS,Traceability,5,FRS Section 11 Traceability Matrix (for QIMS 2.50),A,29-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol,1,Test Protocol 04 -  Employees Maintenance Regression Testing,A,26-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol,1,Test Protocol 02 -  IPDR ADDQIMS08557,D,26-Jan-2018,Other,wrong document attached to NVP
Beilah,01090.000,WWLIMS,CII,1,Configuration Item Inventory-Workstation v9.3b,A-FP,26-Jan-2018,,
Beilah,01033.011,Pulse,System Certification Summary,1,Certification Summary,A-FP,26-Jan-2018,,
Beilah,01090.000,WWLIMS,Validation Plan,3,Val Plan,A-FP,29-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol,1,Test Protocol 02 -  IPDR ADDQIMS08557,D,26-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol,1,Test Protocol 02 -  IPDR ADDQIMS08557,A,29-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 02 -  IPDR ADDQIMS08557: failed,A-FP,1-Feb-2018,,Failed step will be rerun
Beilah,01101.000,QIMS,Test Protocol,2,DT_ArchitectAssayDetail ,A-FP,29-Jan-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1, WWLIMS WorkStation v9.3)Validation: ADDULCD771510T 9.3b,A-FP,29-Jan-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1, WWLIMS WorkStation v9.3)Validation: ADDULCD772728L 9.3b,A-FP,29-Jan-2018,,
Beilah,01033.011,Pulse,IIVP results,1,Installation Instructions and Verification Protocol_Prod,A-FP,29-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 01 - Employee Valuation Testing,D,30-Jan-2018,Not compliant with procedure,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 01 - Employee Valuation Testing,D,31-Jan-2018,Not compliant with procedure,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 01 - Employee Valuation Testing,A,31-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 04 -  Employees Maintenance Regression Testing,D,30-Jan-2018,Not compliant with procedure,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 04 -  Employees Maintenance Regression Testing,D,31-Jan-2018,Not compliant with procedure,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 04 -  Employees Maintenance Regression Testing,A,31-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,3,DT_ArchitectAssayDetail ,A-FP,30-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass - Test Protocol DT_ArchitectAssayDetail Result: ADDULCD772728L,A-FP,30-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,4,Pass Test Protocol TCAFMARAD_2  Result: ADDULCD771510T,A-FP,30-Jan-2018,,
Beilah,01090.000,WWLIMS,CII,2,Configuration Item Inventory - Instrument Server v9.3a,A-FP,30-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol,1,TCTCPPRT_19,A,30-Jan-2018,,Resubmitted
Beilah,01033.013,Pulse,Software Compliance Assessment,6,Release v15.0,A-FP,30-Jan-2018,,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS WorkStation v9.3 ADDULCL771783  9.3,A-FP,30-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,4,Pass Test Protocol TCAFMARAD_3  Result: ADDULCD772728L,A-FP,31-Jan-2018,,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 03 -  IPDR ADDQIMS08558,D,31-Jan-2018,Not compliant with procedure,
Beilah,01101.000,QIMS,Test Protocol Results,1,Test Protocol 03 -  IPDR ADDQIMS08558,A,31-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,4,Pass Test Protocol - TCAFMARAD_1  Result: ADDULCD772728L,A-FP,31-Jan-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,TCIDARCC_01,A,31-Jan-2018,,Resubmitted
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS Supplemental Items v9.3 - Validation: ADDULCD878490T,D,1-Feb-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS Supplemental Items v9.3 - Validation: ADDULCD878490T,D,1-Feb-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,IIVP results,1,WWLIMS Supplemental Items v9.3 - Validation: ADDULCD878490T,A,1-Feb-2018,,
Beilah,01090.000,WWLIMS,URS,33,WWLIMS User Requirements Specification,A-FP,5-Feb-2018,,
Beilah,01090.000,WWLIMS,Traceability,24,WWLIMS Traceability Matrix,D,12-Feb-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,Test Protocol,1,TCIDARCC_02,A,1-Feb-2018,,Resubmitted
Beilah,01101.000,QIMS,Design Verification,2,Unit Testing Document for QIMS v2.50,A-FP,1-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass Test Protocol TCTCPLR_R_11 Result: ADDULCD771510T,D,1-Feb-2018,Insufficient testing,missing screen prints
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass Test Protocol TCTCPLR_R_11 Result: ADDULCD771510T,D,1-Feb-2018,Inaccurate information,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass Test Protocol TCTCPLR_R_11 Result: ADDULCD771510T,A,1-Feb-2018,,
Beilah,01090.000,WWLIMS,Design Verification,1, Unit test - Instrument Server v9.3b,A-FP,1-Feb-2018,,
Beilah,01090.000,WWLIMS,CII,1,Configuration Item Inventory - Instrument Server v9.3b,A-FP,1-Feb-2018,,
Beilah,01101.000,QIMS,CII,2,Configuration Item Inventory for QIMS 2.50,A-FP,1-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Software Compliance Assessment,1,,A-FP,1-Feb-2018,,Link to original SCA
Beilah,01101.000,QIMS,IIVP results,2,Quality Information Management System (QIMS) Version 2.50 – Manual Installation Instructions for 32 bit or 64 bit pc,A-FP,1-Feb-2018,,
Beilah,01006.002,Alinity Source Verifier,Software Change Request,1,,A-FP,1-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass Test Protocol  TC_IPDR_ ADDWWLIMS08562_SLIGO Result: ADDULCD773047T,A-FP,1-Feb-2018,,
Beilah,01090.000,WWLIMS,Test Protocol Results,1,Pass Test Protocol - TC_IPDR_ ADDWWLIMS08562_LONGFORD Result: ADDULCD773047T,A-FP,1-Feb-2018,,
Nick,345.004,SAS,Test Protocol,1,1,A-FP,25-Jan-2018,,regplot micro
Nick,1075.001,DaVinci,IIVP results,1,1 QA,A-FP,27-Jan-2018,,
Nick,589.05,CMSNext,Software Change Request,1,1,D,29-Jan-2018,Not compliant with procedure,
Nick,1075.001,DaVinci,ISSD,1,1,A-FP,29-Jan-2018,,
Nick,1075.001,DaVinci,Test Protocol,1,4,A,29-Jan-2018,,
Nick,750.011,AFMS,Test Protocol,2,2,A-FP,29-Jan-2018,,
Nick,1075.001,DaVinci,Test Protocol Results,2,3,D,29-Jan-2018,Other,
Nick,1075.001,DaVinci,Test Protocol Results,2,3,A,29-Jan-2018,,
Nick,581.024,TODS,Software Change Request,1,1,D,29-Jan-2018,,
Nick,928.008,Apollo/PHM,Software Compliance Assessment,1,1,D,30-Jan-2018,Other,
Nick,1075.001,DaVinci,Test Protocol Results,1,1,A-FP,30-Jan-2018,,
Nick,1075.001,DaVinci,IDP,1,1,D,30-Jan-2018,Inaccurate information,
Nick,1075.001,DaVinci,IDP,1,1,D,30-Jan-2018,Other,
Nick,ePAS 18-1902,Metrics Library,Validation Plan,1,,A-FP,31-Jan-2018,,
