SQA,Project ID,Application,Deliverable,Doc Version,"Doc ID, if needed",Approve or Disapprove,Date of Approval or Disapproval,Reason for Disapproval,Comments
Lan,DA-S 00536.004,Global Product Part Master (GPPM),IIVP results,2,Install-02v02 Result,A-FP,21-Aug-2019,,
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Test Protocol,2,Protocol -08,D,21-Aug-2019,Mutlible Errors,Email
Ken,DA-S01449.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-02,D,22-Aug-2019,Other,Email
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol -09,D,22-Aug-2019,Mutlible Errors,Email
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Traceability,4,Tmatrix-01,D,22-Aug-2019,Insufficient traceability,Email
Carole,DA-S00922.001,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,D,22-Aug-2019,Mutlible Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),IIVP results,2,Install-01,D,22-Aug-2019,Mutlible Errors,
Carole,DA-S01509.000,Global Product Part Master (GPPM),IIVP results,2,Install-01,A,22-Aug-2019,N/A,
Carole,DA-S01509.000,Global Product Part Master (GPPM),Other,3,Deployment Plan (Post IQ)-01,D,22-Aug-2019,Inaccurate information,Email
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP,3,Install-03,D,23-Aug-2019,Inaccurate information,Email
Carole,DA-S00921.001,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-23,A,23-Aug-2019,N/A,
Carole,DA-S00921.001,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,D,23-Aug-2019,Mutlible Errors,Email
Carole,DA-S00922.001,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,D,23-Aug-2019,Mutlible Errors,Email
Carole,DA-S00923.001 ,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-10,A-FP,23-Aug-2019,N/A,
Carole,DA-S00923.001 ,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,D,23-Aug-2019,Mutlible Errors,Email
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-24,A-FP,23-Aug-2019,N/A,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,D,23-Aug-2019,Mutlible Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Other,3,Deployment Plan (Post IQ)-01,A,23-Aug-2019,N/A,
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP,3,Install-03 Results,A-FP,24-Aug-2019,N/A,
Carole,DA-S00922.001,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-26,A,24-Aug-2019,N/A,
Carole,DA-S00922.001,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,D,24-Aug-2019,Mutlible Errors,Email
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Test Protocol,2,Protocol -08,A,26-Aug-2019,,NPV
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP results,1,Install-03 Results,D,26-Aug-2019,Incorrect Approvers,Email
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP results,1,Install-03 Results,A,26-Aug-2019,N/A,Approve Failed Results in NPV
Carole,DA-S00921.001,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,A,26-Aug-2019,N/A,
Carole,DA-S00922.001,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,A,26-Aug-2019,N/A,
Carole,DA-S00923.001 ,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,A,26-Aug-2019,,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),System Certification Summary,1,VVSR-02v01 System Certification Summary Report,A,26-Aug-2019,,
Lan,DA-S 01069.003,Global Product Part Master (GPPM),Validation Plan,1,SPP-02ver01 SPP for QIST v3.2,D,27-Aug-2019,Mutlible Errors,Email
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol -09,A,27-Aug-2019,,NPV
Ken,DA-S01194.000,Global Product Part Master (GPPM),Software Change Request,1,SQA-09,D,28-Aug-2019,N/A,Email
Lan,DA-S 01069.003,Global Product Part Master (GPPM),Validation Plan,1,SPP-02ver01 SPP for QIST v3.2,D,29-Aug-2019,Inaccurate information,Email
Ken,DA-S01194.000,Global Product Part Master (GPPM),Software Change Request,2,SQA-08,D,29-Aug-2019,Not compliant with procedure,"AWC 3.3 upgrade to AWC 4.2, use new extension"
Arun,DA-S 01112.000,Global Product Part Master (GPPM),Traceability,4,Tmatrix-01,A,29-Aug-2019,,NPV
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP,1,Install-04,A,29-Aug-2019,N/A,
Carole,DA-S00922.001,Global Product Part Master (GPPM),IIVP results,1,Install-01,A-FP,29-Aug-2019,,
Carole,DA-S00923.001 ,Global Product Part Master (GPPM),IIVP results,1,Install-01,A-FP,29-Aug-2019,N/A,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),IIVP results,1,Install-03,A-FP,29-Aug-2019,N/A,
Ken,DA-S01449.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-02,D,30-Aug-2019,Other,Email
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP,1,Install-04 Results,A,30-Aug-2019,N/A,
Lan,DA-S 00622 . 008,Global Product Part Master (GPPM),Software Change Request,1,SCR-31,D,2-Sep-2019,Multiple Errors,Email
Lan,DA-S 00622 . 008,Global Product Part Master (GPPM),IIVP,15,Install-1,D,2-Sep-2019,Multiple Errors,NPV
Lan,DA-S 00562.005 ,Global Product Part Master (GPPM),Software Change Request,1,SCR-35 ,D,2-Sep-2019,Multiple Errors,Email
Lan,DA-S 00562.005 ,Global Product Part Master (GPPM),IIVP,7,Install-1,D,2-Sep-2019,Multiple Errors,NPV
Lan,DA-S 01069.003,Global Product Part Master (GPPM),Validation Plan,1,SPP-02ver01 SPP for QIST v3.2,A,3-Sep-2019,,
Lan,DA-S 01457.000,Global Product Part Master (GPPM),Software Change Request,1,SCR-02v01 Software Change Request,D,3-Sep-2019,Mutlible Errors,Email
Lan,DA-S 00536.004,Global Product Part Master (GPPM),IIVP results,2,Protocol 59 Result,D,3-Sep-2019,Not compliant with procedure,Email
Lan,DA-S 00536.004,Global Product Part Master (GPPM),IIVP results,2,Protocol 60 Result,D,3-Sep-2019,Not compliant with procedure,Email
Ken,DA-S01449.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-02,D,3-Sep-2019,Other,Not complete
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Software Change Request,1,SCR-20,D,4-Sep-2019,Multiple Errors,Email
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-20-Results,D,4-Sep-2019,Incorrect Objective Evidence,Email
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,2,Protocol-19-Results,D,4-Sep-2019,Incorrect Objective Evidence,Email
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-08-Results,D,4-Sep-2019,Incorrect Objective Evidence,Email
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,2,Protocol-02-Results,D,4-Sep-2019,Multiple Errors,Email
Lan,DA-S 00622 . 008,Global Product Part Master (GPPM),Software Change Request,1,SCR-31,A,5-Sep-2019,,NPV
Lan,DA-S 00622 . 008,Global Product Part Master (GPPM),IIVP,15,Install-1,A,5-Sep-2019,,NPV
Lan,DA-S 00562.005 ,Global Product Part Master (GPPM),Software Change Request,1,SCR-35 ,A,5-Sep-2019,,NPV
Lan,DA-S 00562.005 ,Global Product Part Master (GPPM),IIVP,7,Install-1,A,5-Sep-2019,,NPV
Carole,DA-S01510.000,Global Product Part Master (GPPM),Software Change Request,1,SCR-03,D,5-Sep-2019,Multiple Errors,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),Software Change Request,1,SCR-03,D,6-Sep-2019,Inadequate Description of Change,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-82,D,6-Sep-2019,Multiple Errors,Email
Ken,DA-S00893.006,Global Product Part Master (GPPM),Software Change Request,2,SCR-09,D,9-Sep-2019,Inaccurate information,
Ken,DA-S00893.006,Global Product Part Master (GPPM),Software Change Request,2,SCR-09,A,9-Sep-2019,,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-20-Results,D,9-Sep-2019,Incorrect Objective Evidence,Email
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,2,Protocol-19-Results,D,9-Sep-2019,Incorrect Objective Evidence,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Software Change Request,1,SCR-02,D,9-Sep-2019,Multiple Errors,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-80,D,9-Sep-2019,Multiple Errors,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-81,D,9-Sep-2019,Multiple Errors,Email
Ken,DA-S00893.006,Global Product Part Master (GPPM),Software Change Request,1,SCR-10,D,10-Sep-2019,Inaccurate information,Copied of SCR-09 without complete review 
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Software Change Request,1,SCR-20,A,10-Sep-2019,N/A,
Carole,DA-S01510.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-82,D,10-Sep-2019,Multiple Errors,Email
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Software Change Request,1,SCR-21,D,11-Sep-2019,Multiple Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Software Change Request,1,SCR-02,D,11-Sep-2019,Multiple Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),URS,3,URS-01,D,11-Sep-2019,Multiple Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-04,D,11-Sep-2019,Multiple Errors,Email
Carole,DA-S00919.004,Global Product Part Master (GPPM),IIVP results,1,Install-04-Results,A,11-Sep-2019,N/A,
Ken,DA-S00893.006,Global Product Part Master (GPPM),Design Documentation,12,SDD-01 (SCR-09),A-FP,12-Sep-2019,,
Ken,DA-S00893.006,Global Product Part Master (GPPM),IIVP,1,Install-10 (SCR-09),A-FP,12-Sep-2019,,
Ken,DA-S00893.006,Global Product Part Master (GPPM),Test Protocol,1,Protocol-21 (SCR-09),D,12-Sep-2019,Mutlible Errors,
Ken,DA-S00893.006,Global Product Part Master (GPPM),Software Change Request,1,SCR-10,A,12-Sep-2019,,
Ken,DA-S00893.006,Global Product Part Master (GPPM),IIVP,1,Install-11 (SCR-10),A-FP,12-Sep-2019,,
Ken,DA-S00893.006,Global Product Part Master (GPPM),Test Protocol,2,Protocol-17,A-FP,12-Sep-2019,,
Lan,DA-S 00536.004,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-56,D,12-Sep-2019,Incorrect Objective Evidence,NPV
Lan,DA-S 00536.004,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-59,D,12-Sep-2019,Incorrect Objective Evidence,NPV
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol,3,Protocol-02,A,12-Sep-2019,N/A,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Software Change Request,1,SCR-21,D,12-Sep-2019,Inadequate Description of Change,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Software Change Request,1,SCR-02,A,12-Sep-2019,N/A,
Carole,DA-S01509.000,Global Product Part Master (GPPM),Traceability,2,TMatrixUSPro-01,D,12-Sep-2019,Other,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-04,D,12-Sep-2019,Multiple Errors,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-04,D,12-Sep-2019,Multiple Errors,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),Software Change Request,1,SCR-03,D,12-Sep-2019,Inadequate Description of Change,Email
Ken,DA-S00893.006,Global Product Part Master (GPPM),Test Protocol,1,Protocol-21 (SCR-09),D,13-Sep-2019,Inaccurate information,
Ken,DA-S 01190.003,Global Product Part Master (GPPM),Software Change Request,2,SCR-12,D,13-Sep-2019,Inadequate Description of Change,
Carole,DA-S01509.000,Global Product Part Master (GPPM),URS,3,URS-01,A,13-Sep-2019,N/A,
Carole,DA-S01509.000,Global Product Part Master (GPPM),Traceability,2,TMatrixUSPro-01,A,13-Sep-2019,N/A,
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-04,A,13-Sep-2019,N/A,
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-04 Results,D,13-Sep-2019,Inaccurate information,Email
Carole,DA-S01509.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-04 Results,A,13-Sep-2019,,
Ken,DA-S01194.000,Global Product Part Master (GPPM),Software Change Request,2,SQA-08,A,16-Sep-2019,,
Ken,DA-S00893.006,Global Product Part Master (GPPM),URS/FRS,13,SRS-01,D,16-Sep-2019,Requirement deficiency,
Ken,DA-S00893.006,Global Product Part Master (GPPM),URS/FRS,13,SRS-01,A,16-Sep-2019,,
Ken,DA-S00893.006,Global Product Part Master (GPPM),Test Protocol,1,Protocol-21 (SCR-09),A,16-Sep-2019,,
Ken,DA-S00893.006,Global Product Part Master (GPPM),Traceability,10,TMatrixUSPro-01,D,16-Sep-2019,Inaccurate information,
Ken,DA-S00893.006,Global Product Part Master (GPPM),Traceability,10,TMatrixUSPro-01,A,16-Sep-2019,,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-08-Results,A,16-Sep-2019,N/A,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,3,Protocol-02,A,16-Sep-2019,N/A,
Carole,DA-S01509.000,Global Product Part Master (GPPM),IIVP results,2,Installation instructions and Verification Protocol Results-01,A,16-Sep-2019,,
Carole,DA-S01510.000,Global Product Part Master (GPPM),Software Change Request,1,SCR-03,A,16-Sep-2019,N/A,
Ken,DA-S01449.000,Global Product Part Master (GPPM),IIVP results,1,Install-01 Results,D,17-Sep-2019,Incorrect Objective Evidence,
Ken,DA-S01449.000,Global Product Part Master (GPPM),IIVP results,1,Install-01 Results,A,17-Sep-2019,,
Ken,DA-S01449.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-02,D,17-Sep-2019,Not compliant with procedure,
Ken,DA-S 01190.003,Global Product Part Master (GPPM),Software Change Request,2,SCR-12,A,17-Sep-2019,,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-20-Results,A,17-Sep-2019,N/A,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),Test Protocol Results,2,Protocol-19-Results,A,17-Sep-2019,N/A,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),CII,2,VDD-01,D,17-Sep-2019,Incorrect Approvers,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),IIVP,1,Install-06,D,17-Sep-2019,Multiple Errors,Email
Ken,DA-S01449.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-02,A,18-Sep-2019,,
Ken,DA-S 01194.001,Global Product Part Master (GPPM),Other,1,"Pointer to base  validation for common deliverables eRIM, BIA, etc.",A-FP,18-Sep-2019,,
Ken,DA-S 01514.000,Global Product Part Master (GPPM),Other,1,Pointer to base  validation for eRIM,A-FP,18-Sep-2019,,
Ken,DA-S 01514.000,Global Product Part Master (GPPM),Other,1,Pointer to base  validation for BIA,A-FP,18-Sep-2019,,
Lan,DA-S 00562.005 ,Global Product Part Master (GPPM),IIVP results,1,Protocol-46,D,18-Sep-2019,Multiple Errors,Email
Lan,DA-S 00562.005 ,Global Product Part Master (GPPM),IIVP results,1,Protocol-46,D,18-Sep-2019,Multiple Errors,Email
Lan,DA-S 1497.000 ,Global Product Part Master (GPPM),Software Change Request,2,SCR-02,D,18-Sep-2019,Multiple Errors,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-82,A,18-Sep-2019,N/A,
Carole,DA-S01510.000,Global Product Part Master (GPPM),Test Protocol,1,Protocol-81,A,18-Sep-2019,N/A,
Carole,DA-S01510.000,Global Product Part Master (GPPM),Traceability,2,TMatrixUSPro-01,D,18-Sep-2019,Other,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),Traceability,2,TMatrixUSPro-01,A,18-Sep-2019,N/A,
Carole,DA-S01510.000,Global Product Part Master (GPPM),IIVP,1,Install-06,D,18-Sep-2019,Multiple Errors,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),IIVP,1,Install-06,A,18-Sep-2019,N/A,
Ken,DA-S 01194.001,Global Product Part Master (GPPM),Software Compliance Assessment,1,Assessment-01,D,18-Sep-2019,Incorrect Approvers,
Arun,DA-S01194.001,Global Product Part Master (GPPM),Software Change Request,1,SCR-02,D,19-Sep-2019,Not compliant with procedure,Email
Arun,DA-S01190.003,Global Product Part Master (GPPM),IIVP,2,Install-16,D,19-Sep-2019,Multiple Errors,NPV
Arun,DA-S01190.003,Global Product Part Master (GPPM),IIVP,2,Install-15,D,19-Sep-2019,,NPV
Lan,DA-S 1497.000 ,Global Product Part Master (GPPM),Software Change Request,2,SCR-02,A,19-Sep-2019,,
Carole,DA-S00931.001 ,Global Product Part Master (GPPM),IIVP results,1,Install-02,D,19-Sep-2019,Inaccurate information,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),IIVP results,1,Install-06-Results,A,19-Sep-2019,N/A,
Carole,DA-S01510.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-81-Results,A,20-Sep-2019,N/A,
Lan,DA-S 00622 . 008,Global Product Part Master (GPPM),Move to Production,1,MtP-62 ,A-FP,21-Sep-2019,,
Lan,DA-S 00562.005 ,Global Product Part Master (GPPM),IIVP results,1,Protocol-46,A,21-Sep-2019,,
Lan,DA-S 00562.005 ,Global Product Part Master (GPPM),Move to Production,1,MtP-81,A-FP,21-Sep-2019,,
Lan,DA-S 01069.003,Global Product Part Master (GPPM),Test Protocol,1,USTest-03 ,A,21-Sep-2019,,
Lan,DA-S 01069.003,Global Product Part Master (GPPM),Test Protocol,1,USTest-03 Result,D,21-Sep-2019,Incorrect Objective Evidence,Email
Lan,DA-S 01069.003,Global Product Part Master (GPPM),Test Protocol,2,USTest-03,D,21-Sep-2019,Mutlible Errors,Email
Lan,DA-S 00536.004,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-56,D,21-Sep-2019,Incorrect Objective Evidence,NPV
Arun,DA-S01190.003,Global Product Part Master (GPPM),IIVP,1,Install -19,A,23-Sep-2019,,NPV
Arun,DA-S01190.003,Global Product Part Master (GPPM),CII,10,VDD-01,A,23-Sep-2019,,NPV
Lan,DA-S 1332.003,Global Product Part Master (GPPM),Software Change Request,1,SCR-04,D,23-Sep-2019,,
Lan,DA-S 1332.003,Global Product Part Master (GPPM),Test Protocol,2,Prortocol-1,D,23-Sep-2019,Not compliant with procedure,Email
Carole,DA-S01510.000,Global Product Part Master (GPPM),Test Protocol Results,1,Protocol-80-Results,D,23-Sep-2019,Incorrect Objective Evidence,Email
